"geocode","city","type of sell","average market price"
"22273","SAINT-ALBAN","Maison","2194"
"22171","PLAINTEL","Maison","1633"
"22389","YFFINIAC","Maison","1706"
"22234","PLOUVARA","Maison","1452"
"22182","PLELO","Maison","1385"
"22059","LE FOEIL","Maison","1467"
"22106","LANGUEUX","Maison","1981"
"22262","QUINTIN","Maison","1226"
"22206","CHATELAUDREN-PLOUAGAT","Maison","1288"
"22278","SAINT-BRIEUC","Maison","1617"
"22186","PLENEUF-VAL-ANDRE","Maison","2993"
"22081","HILLION","Maison","1673"
"22055","BINIC-ETABLES-SUR-MER","Maison","2543"
"22044","COETMIEUX","Maison","1642"
"22246","POMMERET","Maison","1595"
"22215","PLOUFRAGAN","Maison","1658"
"22162","PAIMPOL","Maison","2297"
"22187","PLERIN","Maison","2009"
"22372","TREMUSON","Maison","1498"
"22258","QUESSOY","Maison","1623"
"22251","PORDIC","Maison","1998"
"22232","PLOURHAN","Maison","1642"
"22093","LAMBALLE-ARMOR","Maison","1820"
"22073","LA HARMOYE","Maison","1143"
"22203","PLOEUC-L'HERMITAGE","Maison","1253"
"22214","PLOUEZEC","Maison","1981"
"22360","TREGUEUX","Maison","1742"
"22099","LANFAINS","Maison","1390"
"22277","SAINT-BRANDAN","Maison","1515"
"22170","PLAINE-HAUTE","Maison","1574"
"22176","PLEDRAN","Maison","1605"
"22153","MONCONTOUR","Maison","1273"
"22346","TREDANIEL","Maison","1415"
"22242","PLURIEN","Maison","2252"
"22150","LE MERZER","Maison","1418"
"22370","TREMEVEN","Maison","1351"
"22222","PLOUHA","Maison","1895"
"22210","PLOUBAZLANEC","Maison","2803"
"22325","SAINT-QUAY-PORTRIEUX","Maison","2549"
"22233","PLOURIVO","Maison","1533"
"22117","LANTIC","Maison","1747"
"22177","PLEGUIEN","Maison","1726"
"22054","ERQUY","Maison","2726"
"22016","BREHAT","Maison","8252"
"22248","POMMERIT-LE-VICOMTE","Maison","1283"
"22109","LANLOUP","Maison","1587"
"22121","LANVOLLON","Maison","1458"
"22079","HENON","Maison","1632"
"22045","COHINIAC","Maison","1154"
"22281","SAINT-CARREUC","Maison","1344"
"22011","BOQUEHO","Maison","1280"
"22057","LE FAOUET","Maison","1801"
"22390","YVIAS","Maison","1724"
"22345","TREBRY","Maison","1379"
"22332","SAINT-TRIMOEL","Maison","1291"
"22112","LANNEBERT","Maison","1688"
"22356","TREGOMEUR","Maison","1725"
"22178","PLEHEDEL","Maison","1579"
"22144","LA MEAUGON","Maison","1721"
"22098","LANDEHEN","Maison","1439"
"22063","GOMMENEC H","Maison","1673"
"22015","BREHAND","Maison","1444"
"22307","SAINT-JULIEN","Maison","1393"
"22375","TRESSIGNAUX","Maison","1615"
"22377","TREVENEUC","Maison","2024"
"22287","SAINT-DONAN","Maison","1333"
"22291","SAINT-GILDAS","Maison","1030"
"22086","KERFOT","Maison","1409"
"22160","NOYAL","Maison","1440"
"22326","SAINT-RIEUL","Maison","1496"
"22236","PLUDUAL","Maison","1480"
"22361","TREGUIDEL","Maison","1390"
"22188","PLERNEUF","Maison","1433"
"22002","ANDEL","Maison","1818"
"22296","SAINT-GLEN","Maison","1362"
"22009","LE BODEO","Maison","2699"
"22140","LA MALHOURE","Maison","1465"
"22378","TREVEREC","Maison","1742"
"22108","LANLEFF","Maison","0"
"22165","PENGUILY","Maison","1162"
"22386","LE VIEUX BOURG","Maison","1142"
"22126","LE LESLAY","Maison","1128"
"22261","QUINTENIC","Maison","1661"
"22276","SAINT-BIHY","Maison","1114"
"22084","JUGON-LES-LACS-COMMUNE NOUVELL","Maison","1432"
"22097","LA LANDEC","Maison","1250"
"22185","PLENEE-JUGON","Maison","1378"
"22012","LA BOUILLIE","Maison","1772"
"22096","LANDEBIA","Maison","1545"
"22302","SAINT-JACUT-DE-LA-MER","Maison","3463"
"22282","SAINT-CAST-LE-GUILDO","Maison","3012"
"22327","SAINT-SAMSON-SUR-RANCE","Maison","1899"
"22071","GUITTE","Maison","1311"
"22190","PLESLIN-TRIGAVOU","Maison","1743"
"22259","QUEVERT","Maison","1722"
"22193","PLESTAN","Maison","1539"
"22213","PLOUER-SUR-RANCE","Maison","3094"
"22337","SEVIGNAC","Maison","1415"
"22056","EVRAN","Maison","1458"
"22208","PLOUASNE","Maison","1322"
"22205","PLOREC-SUR-ARGUENON","Maison","1554"
"22069","GUENROC","Maison","1254"
"22308","SAINT-JUVAT","Maison","1372"
"22280","SAINT-CARNE","Maison","1496"
"22267","ROUILLAC","Maison","807"
"22201","PLEVENON","Maison","2574"
"22143","MATIGNON","Maison","1995"
"22391","YVIGNAC-LA-TOUR","Maison","1052"
"22364","TRELIVAN","Maison","1770"
"22385","LA VICOMTE SUR RANCE","Maison","2061"
"22209","BEAUSSAIS-SUR-MER","Maison","2555"
"22341","TRAMAIN","Maison","1654"
"22105","LANGUENAN","Maison","1783"
"22197","PLEUDIHEN-SUR-RANCE","Maison","2036"
"22239","PLUMAUDAN","Maison","1444"
"22380","TREVRON","Maison","1335"
"22179","FREHEL","Maison","2694"
"22035","LES CHAMPS GERAUX","Maison","1727"
"22036","LA CHAPELLE BLANCHE","Maison","1405"
"22020","BROONS","Maison","1190"
"22050","DINAN","Maison","2284"
"22339","TADEN","Maison","1774"
"22048","CORSEUL","Maison","2077"
"22299","SAINT-HELEN","Maison","2448"
"22118","LANVALLAY","Maison","1867"
"22240","PLUMAUGAT","Maison","1002"
"22274","SAINT-ANDRE-DES-EAUX","Maison","1586"
"22014","BOURSEUL","Maison","1555"
"22342","TREBEDAN","Maison","1363"
"22114","LANRELAS","Maison","1028"
"22180","PLELAN-LE-PETIT","Maison","1506"
"22082","LE HINGLE","Maison","1652"
"22237","PLUDUNO","Maison","1744"
"22175","PLEDELIAC","Maison","1374"
"22094","LANCIEUX","Maison","3475"
"22053","EREAC","Maison","891"
"22174","PLEBOULLE","Maison","1764"
"22348","TREDIAS","Maison","1040"
"22103","LANGROLAY-SUR-RANCE","Maison","2232"
"22268","RUCA","Maison","2050"
"22200","PLEVEN","Maison","1266"
"22026","CALORGUEN","Maison","1686"
"22172","PLANCOET","Maison","1607"
"22317","SAINT MELOIR DES BOIS","Maison","1406"
"22318","SAINT-MICHEL-DE-PLELAN","Maison","1147"
"22311","SAINT-LORMEL","Maison","1766"
"22104","LANGUEDIAS","Maison","1310"
"22077","HENANSAL","Maison","1485"
"22145","MEGRIT","Maison","1233"
"22076","HENANBIHEN","Maison","1920"
"22369","TREMEUR","Maison","1074"
"22021","BRUSVILY","Maison","1473"
"22032","CAULNES","Maison","1276"
"22368","TREMEREUC","Maison","2208"
"22323","SAINT-POTAN","Maison","1530"
"22306","SAINT-JUDOCE","Maison","1385"
"22003","AUCALEUC","Maison","1661"
"22049","CREHEN","Maison","1772"
"22388","VILDE-GUINGALAN","Maison","1812"
"22008","BOBITAL","Maison","1987"
"22312","SAINT-MADEN","Maison","1175"
"22286","SAINT-DENOUAL","Maison","1693"
"22305","SAINT-JOUAN-DE-L ISLE","Maison","1103"
"22315","SAINT-MAUDEZ","Maison","1500"
"22352","TREFUMEL","Maison","1386"
"22263","LE QUIOU","Maison","945"
"22283","SAINT-CLET","Maison","1176"
"22092","KERPERT","Maison","882"
"22225","PLOUMAGOAR","Maison","1387"
"22212","PLOUEC-DU-TRIEUX","Maison","1068"
"22220","PLOUGUERNEVEL","Maison","826"
"22266","ROSTRENEN","Maison","882"
"22067","GRACES","Maison","1310"
"22004","BEGARD","Maison","1281"
"22019","BRINGOLO","Maison","1719"
"22116","LANRODEC","Maison","1320"
"22023","BULAT-PESTIVIEN","Maison","942"
"22321","ST NICOLAS DU PELEM","Maison","991"
"22161","PABU","Maison","1458"
"22070","GUINGAMP","Maison","1276"
"22135","LOUARGAT","Maison","1307"
"22202","PLEVIN","Maison","1075"
"22115","LANRIVAIN","Maison","739"
"22344","TREBRIVAN","Maison","830"
"22229","PLOUNEVEZ QUINTIN","Maison","896"
"22204","PLOEZAL","Maison","1177"
"22358","TREGONNEAU","Maison","1027"
"22005","BELLE ISLE EN TERRE","Maison","938"
"22065","GOUDELIN","Maison","1453"
"22025","CALLAC","Maison","784"
"22128","LOCARN","Maison","1126"
"22157","LE MOUSTOIR","Maison","1008"
"22137","MAEL CARHAIX","Maison","902"
"22272","ST AGATHON","Maison","1357"
"22331","SAINTE-TREPHINE","Maison","1182"
"22138","MAEL-PESTIVIEN","Maison","781"
"22164","PEDERNEC","Maison","1148"
"22091","KERMOROCH","Maison","1295"
"22163","PAULE","Maison","1040"
"22365","TREMARGAT","Maison","834"
"22256","QUEMPER GUEZENNEC","Maison","1264"
"22189","PLESIDY","Maison","1403"
"22072","GURUNHUEL","Maison","1158"
"22024","CALANHEL","Maison","1172"
"22294","SAINT-GILLES-PLIGEAUX","Maison","879"
"22216","PLOUGONVER","Maison","936"
"22250","PONTRIEUX","Maison","1133"
"22293","SAINT-GILLES-LES-BOIS","Maison","1038"
"22354","TREGLAMUS","Maison","1130"
"22269","RUNAN","Maison","736"
"22338","SQUIFFIEC","Maison","1090"
"22061","GLOMEL","Maison","1207"
"22052","DUAULT","Maison","926"
"22328","SAINT-SERVAIS","Maison","912"
"22322","SAINT-PEVER","Maison","1202"
"22013","BOURBRIAC","Maison","1167"
"22310","SAINT-LAURENT","Maison","1274"
"22087","KERGRIST-MOELOU","Maison","882"
"22088","KERIEN","Maison","802"
"22018","BRELIDY","Maison","1193"
"22231","PLOURAC H","Maison","989"
"22335","SENVEN-LEHART","Maison","1489"
"22223","PLOUISY","Maison","1233"
"22249","PONT-MELVEZ","Maison","760"
"22243","PLUSQUELLEC","Maison","875"
"22351","TREFFRIN","Maison","1110"
"22271","SAINT-ADRIEN","Maison","1827"
"22289","SAINT-FIACRE","Maison","1228"
"22284","SAINT-CONNAN","Maison","915"
"22037","LA CHAPELLE NEUVE","Maison","875"
"22031","CARNOET","Maison","779"
"22095","LANDEBAERON","Maison","1032"
"22373","TREOGAN","Maison","724"
"22304","SAINT-JEAN-KERDANIEL","Maison","1600"
"22139","MAGOAR","Maison","906"
"22029","CANIHUEL","Maison","1098"
"22156","MOUSTERU","Maison","926"
"22040","COADOUT","Maison","1139"
"22129","LOC-ENVEL","Maison","704"
"22320","SAINT-NICODEME","Maison","659"
"22169","PEUMERIT-QUINTIN","Maison","731"
"22132","LOHUEC","Maison","935"
"22226","PLOUMILLIAU","Maison","1563"
"22235","PLOUZELAMBRE","Maison","1171"
"22224","PLOULEC'H","Maison","1827"
"22113","LANNION","Maison","1652"
"22134","LOUANNEC","Maison","2239"
"22168","PERROS-GUIREC","Maison","2560"
"22218","PLOUGRESCANT","Maison","2300"
